MAKE,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,COEMISSIONS,FUEL_X,FUEL_Z,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_M5,FUEL CONSUMPTION
2.75,3.02,1.6,4,184,1,0,0,0,1,8.8
3.25,3.08,2.4,4,244,1,0,0,0,1,12.5
3.75,3.53,2.2,4,246,1,0,0,0,1,12.2
2.75,4.0,2.0,4,253,1,0,1,0,0,11.7
3.75,3.02,5.7,8,278,0,1,0,0,0,14.4
3.5,3.61,3.5,6,288,1,0,1,0,0,14.7
4.0,4.0,4.0,6,352,1,0,0,1,0,17.3
3.5,3.42,2.0,4,258,1,0,1,0,0,12.7
3.5,3.42,2.4,5,274,0,1,1,0,0,13.6
3.75,4.5,4.3,6,368,1,0,1,0,0,17.8
4.0,4.0,4.0,6,368,1,0,0,0,0,17.3
2.75,3.02,1.6,4,202,1,0,1,0,0,10.0
4.5,4.34,4.3,6,384,1,0,0,0,1,18.5
4.5,4.83,5.7,8,426,1,0,1,0,0,20.6
4.0,3.31,2.0,4,219,1,0,1,0,0,10.6
3.5,4.34,4.0,6,357,1,0,0,1,0,17.1
3.75,3.53,2.2,4,278,1,0,1,0,0,13.8
4.75,3.97,3.8,6,304,1,0,1,0,0,15.2
4.75,4.5,5.2,8,393,1,0,1,0,0,20.0
2.75,3.02,1.6,4,223,0,1,0,0,1,10.9
4.0,4.34,5.4,8,363,1,0,1,0,0,17.9
3.5,3.08,2.8,6,258,0,1,0,1,0,12.7
4.0,4.23,3.2,6,311,0,1,0,0,0,15.9
3.0,3.02,1.9,4,165,0,0,0,0,1,6.7
2.75,2.99,1.8,4,196,1,0,0,0,1,9.6
3.25,3.02,2.2,4,235,1,0,0,0,1,12.2
3.0,3.02,1.8,4,248,0,1,1,0,0,11.9
3.75,4.0,3.3,6,361,1,0,1,0,0,17.3
3.75,3.53,4.3,6,322,1,0,0,0,1,16.1
3.5,4.34,4.0,6,354,1,0,0,1,0,17.2
3.25,3.08,2.2,4,239,1,0,1,0,0,11.8
4.0,3.67,3.4,6,308,0,1,0,0,0,16.0
4.0,4.5,4.2,6,389,1,0,1,0,0,19.0
3.0,3.02,2.0,4,228,1,0,0,0,1,11.4
3.75,3.08,4.9,8,375,0,1,0,0,0,19.6
4.0,3.61,4.6,8,299,1,0,1,0,0,15.1
3.75,4.0,2.0,4,255,1,0,0,0,1,11.9
3.25,4.34,4.7,8,363,1,0,1,0,0,17.3
3.5,3.31,2.4,5,262,0,1,0,1,0,13.2
4.75,3.97,3.8,6,324,1,0,0,0,0,16.4
3.25,4.34,4.7,8,382,1,0,1,0,0,18.2
3.75,4.34,2.4,4,255,1,0,0,0,1,12.1
2.75,4.0,2.5,6,294,1,0,0,0,1,13.8
3.75,4.83,4.3,6,380,1,0,1,0,0,18.3
3.25,3.02,1.3,4,156,1,0,0,0,1,7.6
3.75,4.0,3.0,6,292,1,0,1,0,0,14.2
3.5,3.02,2.3,5,285,0,1,1,0,0,14.2
4.5,4.0,4.3,6,336,1,0,1,0,0,16.2
4.0,4.34,3.0,6,320,1,0,0,0,1,15.5
